"","GenderSelect","Age","EmploymentStatus","FormalEducation","EmployerIndustry","LanguageRecommendationSelect","MajorSelect"
"1","Male",26,"Employed full-time","Master's degree","Financial","Python","Computer Science"
"2","Male",29,"Employed full-time","Master's degree","Pharmaceutical","Python","Computer Science"
"3","Male",24,"Employed full-time","Bachelor's degree","Hospitality/Entertainment/Sports","Python","Computer Science"
"4","Male",50,"Employed full-time","Doctoral degree","Insurance","R","Mathematics or statistics"
"5","Male",25,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"6","Male",32,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"7","Male",26,"Employed full-time","Master's degree","Government","R","A health science"
"8","Male",23,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"9","Male",29,"Employed full-time","Doctoral degree","Academic","R","Mathematics or statistics"
"10","Female",28,"Employed full-time","Master's degree","Other","R","Mathematics or statistics"
"11","Male",26,"Employed full-time","Bachelor's degree","CRM/Marketing","Python","Mathematics or statistics"
"12","Male",52,"Employed full-time","Bachelor's degree","Academic","Python","Computer Science"
"13","Male",32,"Employed full-time","Doctoral degree","Mix of fields","R","Computer Science"
"14","Male",27,"Employed full-time","Bachelor's degree","Other","Python","Mathematics or statistics"
"15","Female",25,"Employed full-time","Master's degree","Academic","Python","Mathematics or statistics"
"16","Male",29,"Employed full-time","Bachelor's degree","Financial","Python","Computer Science"
"17","Male",32,"Employed full-time","Master's degree","Other","Matlab","Mathematics or statistics"
"18","Male",35,"Employed full-time","Bachelor's degree","Insurance","Python","Computer Science"
"19","Male",31,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"20","Male",22,"Employed full-time","Master's degree","Financial","Python","Mathematics or statistics"
"21","Male",29,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"22","Male",47,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"23","Male",39,"Employed full-time","Bachelor's degree","Hospitality/Entertainment/Sports","R","Mathematics or statistics"
"24","Female",22,"Employed full-time","Bachelor's degree","Government","Python","Computer Science"
"25","Male",40,"Employed full-time","Doctoral degree","Technology","Python","Computer Science"
"26","Male",25,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"27","Male",40,"Employed full-time","Master's degree","Academic","R","Mathematics or statistics"
"28","Male",34,"Employed part-time","Doctoral degree","Academic","R","Computer Science"
"29","Male",23,"Employed full-time","Bachelor's degree","Mix of fields","Python","Computer Science"
"30","Male",28,"Employed full-time","Master's degree","Pharmaceutical","R","A health science"
"31","Male",28,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"32","Male",26,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"33","Male",30,"Employed full-time","Doctoral degree","Technology","Python","Mathematics or statistics"
"34","Male",49,"Employed full-time","Doctoral degree","Academic","Python","A health science"
"35","Male",33,"Employed full-time","Master's degree","Financial","Python","A health science"
"36","Male",60,"Employed full-time","Doctoral degree","Academic","R","Computer Science"
"37","Female",24,"Employed full-time","Bachelor's degree","Technology","Python","Mathematics or statistics"
"38","Male",29,"Employed full-time","Master's degree","Financial","R","Mathematics or statistics"
"39","Male",23,"Employed full-time","Bachelor's degree","Insurance","Python","Mathematics or statistics"
"40","Male",25,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"41","Male",37,"Employed full-time","Doctoral degree","Financial","Python","Mathematics or statistics"
"42","Male",29,"Employed full-time","Master's degree","Government","Python","Mathematics or statistics"
"43","Male",25,"Employed full-time","Master's degree","Academic","Matlab","Computer Science"
"44","Male",31,"Employed full-time","Master's degree","Government","R","Mathematics or statistics"
"45","Male",31,"Employed full-time","Master's degree","Retail","Python","Computer Science"
"46","Male",31,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"47","Male",26,"Employed full-time","Master's degree","Government","Python","Computer Science"
"48","Male",24,"Employed full-time","Some college/university study without earning a bachelor's degree","Retail","R","Computer Science"
"49","Male",30,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"50","Male",32,"Employed full-time","Master's degree","Other","Python","Computer Science"
"51","Female",38,"Employed full-time","Master's degree","Government","SAS","Computer Science"
"52","Male",25,"Employed part-time","Master's degree","Financial","R","Mathematics or statistics"
"53","Male",45,"Employed full-time","Master's degree","Other","R","Mathematics or statistics"
"54","Male",44,"Employed full-time","Master's degree","Telecommunications","Python","Mathematics or statistics"
"55","Male",23,"Employed full-time","Bachelor's degree","Other","Python","Mathematics or statistics"
"56","Male",37,"Employed full-time","Bachelor's degree","CRM/Marketing","Python","Computer Science"
"57","Male",39,"Employed full-time","Bachelor's degree","Financial","R","Computer Science"
"58","Male",25,"Employed full-time","Master's degree","Academic","R","Mathematics or statistics"
"59","Male",33,"Employed full-time","Bachelor's degree","Pharmaceutical","Python","Computer Science"
"60","Male",49,"Employed full-time","Doctoral degree","Other","R","A health science"
"61","Male",35,"Employed full-time","Bachelor's degree","Internet-based","Python","Computer Science"
"62","Male",35,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"63","Male",34,"Employed full-time","Master's degree","Government","R","Computer Science"
"64","Male",22,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
